India,35113
Bangladesh,9264
United States,6985
Pakistan,5172
Nigeria,3370
Philippines,2423
Nepal,2225
Egypt,1276
United Kingdom,1257
Brazil,1089
Kenya,1021
Indonesia,999
Sri Lanka,928
Vietnam,919
Morocco,875
Germany,837
Canada,836
South Africa,796
China,760
Myanmar (Burma),715
Algeria,709
Malaysia,706
Australia,699
Ethiopia,698
Taiwan,626
Ghana,617
Turkey,576
Poland,526
Cambodia,450
France,436
Tunisia,428
Thailand,420
Uganda,419
Singapore,416
Mexico,409
Israel,377
Zambia,371
United Arab Emirates,363
Afghanistan,339
Romania,317
Italy,317
Saudi Arabia,307
Greece,296
South Korea,293
Ukraine,284
Russia,271
Tanzania,251
Netherlands,241
Zimbabwe,231
Hong Kong,227
Iraq,217
Japan,213
Spain,192
Sweden,191
Peru,191
Iran,171
Colombia,170
Ireland,170
Belgium,160
Serbia,157
Sudan,157
Malawi,140
Madagascar,139
Portugal,135
Denmark,133
Botswana,130
Bulgaria,127
New Zealand,127
Cameroon,126
Azerbaijan,125
Czech Republic,125
Finland,125
Hungary,123
Argentina,120
Jordan,119
Mongolia,115
Norway,107
Rwanda,103
Somalia,103
Croatia,100
Chile,95
Switzerland,89
Austria,89
Papua New Guinea,87
Qatar,84
Syria,81
Angola,81
Lithuania,80
Benin,72
Kuwait,67
Slovakia,66
Armenia,65
Georgia,64
Palestine,62
Côte d'Ivoire,61
Lebanon,59
Albania,58
Macedonia,58
Uzbekistan,54
Bosnia and Herzegovina,54
